codigo,aids,animais,dengue,hanseniase,hepatites,sadquirida,scongenita,sgestante,toxico,tuberculose,autoprovocada_sim,autoprovocada_não,violencia,estabelecimentos,profissionais,estado,metropolitana,amazonia,semiarido,agropecuaria,industria,servicos,servicos_basicos,impostos,pib,per_capita,populacao,latitude,longitude,regiao,nascimentos,mortalidade_geral,mortalidade_infantil
316930,50,160,2997,26,41,88,15,142,100,85,284,372,712,262,491,MG,0,0,0,135453.0,536359.0,1106095.0,334468.0,342737.0,2455112.0,30888.91,79482,-21.6926,-45.2515,SE,5266,2661,64
316935,16,450,1049,19,7,26,12,16,8,26,28,164,199,62,92,MG,0,0,0,94203.0,1374600.0,501813.0,162975.0,337553.0,2471143.0,76373.56,32356,-18.2022,-45.2285,SE,1863,915,18
316940,35,1128,3924,1,35,206,10,31,426,24,231,444,703,203,325,MG,0,0,0,57371.0,204269.0,608207.0,252664.0,139282.0,1261792.0,22235.8,56746,-21.3699,-45.5113,SE,3543,1966,46
316950,1,346,217,13,4,6,8,10,10,11,31,59,93,7,15,MG,0,0,0,7808.0,4328.0,19522.0,29892.0,2242.0,63791.0,9475.85,6732,-18.9849,-41.653,SE,393,226,11
316960,18,45,1685,26,10,29,13,15,36,33,38,116,154,23,104,MG,0,0,0,145093.0,98564.0,271321.0,122432.0,55031.0,692441.0,27340.03,25327,-18.593,-48.705,SE,1219,1007,23
316970,3,411,1210,9,11,22,3,10,48,9,122,558,686,32,81,MG,0,0,0,101521.0,23953.0,134339.0,86240.0,26921.0,372974.0,18682.31,19964,-17.2833,-42.7288,SE,1106,458,9
316990,69,200,8328,76,33,211,63,121,60,230,81,77,162,178,608,MG,0,0,0,21196.0,915806.0,1344014.0,452439.0,319496.0,3052950.0,26420.58,115552,-21.1209,-42.9363,SE,6443,3519,63
317000,4,110,789,3,1,0,1,0,6,10,3,74,91,19,27,MG,0,0,0,7960.0,4131.0,34422.0,50948.0,3868.0,101329.0,8084.97,12533,-16.289,-44.7786,SE,713,428,9
317005,2,259,132,6,2,6,3,2,8,7,1,31,34,11,27,MG,0,0,0,13406.0,11400.0,49898.0,53010.0,8048.0,135762.0,10886.24,12471,-19.6355,-42.1063,SE,758,439,11
317010,327,2925,5227,129,413,1285,349,618,2371,389,1756,2634,4486,653,3136,MG,0,0,0,555790.0,4137354.0,7167921.0,1467281.0,2213145.0,15541491.0,46561.66,333783,-19.7477,-47.9385,SE,21207,11693,235
317020,972,1707,60769,534,585,815,284,657,1525,631,1137,1845,3237,1779,6050,MG,0,0,0,510848.0,8440582.0,17594855.0,3110543.0,7971372.0,37628201.0,54430.68,691305,-18.9146,-48.2753,SE,47934,19531,465
317030,1,137,10,0,2,2,1,1,0,1,24,102,128,4,8,MG,0,0,0,5035.0,1688.0,8654.0,16442.0,1201.0,33021.0,12646.78,2611,-17.2553,-40.5783,SE,190,106,5
317040,20,1366,12321,111,15,84,10,20,8,67,11,103,133,147,311,MG,1,0,0,782041.0,263538.0,1225905.0,415493.0,248138.0,2935116.0,34785.32,84378,-16.3597,-46.9025,SE,5884,2487,59
317043,2,148,135,1,0,3,0,2,19,0,22,42,65,6,20,MG,0,0,0,47509.0,6254.0,24871.0,23495.0,3714.0,105843.0,24591.67,4304,-19.53,-50.3359,SE,216,123,3
317047,1,47,198,0,0,0,0,0,10,1,19,53,76,6,16,MG,0,0,0,11981.0,1947.0,15927.0,19709.0,2426.0,51990.0,15928.38,3264,-16.0603,-46.2565,SE,166,103,3
317050,6,147,362,1,3,3,1,3,36,19,1,49,53,6,19,MG,0,0,0,29750.0,50834.0,62143.0,45231.0,18077.0,206035.0,19891.42,10358,-20.3526,-42.7374,SE,659,374,8
317070,89,1047,4568,14,107,437,39,116,1245,99,588,1338,1951,772,1074,MG,0,0,0,26688.0,1181733.0,3287281.0,606124.0,1195846.0,6297672.0,46457.4,135558,-21.5561,-45.4368,SE,8962,4382,97
317075,3,68,102,2,4,4,1,1,29,5,57,88,146,8,21,MG,0,0,0,56047.0,13730.0,40084.0,33363.0,6740.0,149963.0,21313.67,7036,-18.3786,-46.031,SE,521,172,10
317080,9,1906,2326,17,10,131,11,52,981,20,284,865,1160,47,93,MG,0,0,1,58100.0,213802.0,243460.0,166029.0,130683.0,812073.0,20562.46,39493,-17.598,-44.731,SE,1972,1057,25
